"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated";"saapuneet_hakemukset_kumu"
"Työttömyysturva";"2019";"viikko";"1";"Koko Suomi";"kaikki";"kaikki";"7189";"2023/12/19 12:10:43";"7189"
"Työttömyysturva";"2019";"viikko";"2";"Koko Suomi";"kaikki";"kaikki";"9083";"2023/12/19 12:10:43";"16272"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"kaikki";"kaikki";"9017";"2023/12/19 12:10:43";"25289"
"Työttömyysturva";"2019";"viikko";"4";"Koko Suomi";"kaikki";"kaikki";"8541";"2023/12/19 12:10:43";"33830"
"Työttömyysturva";"2019";"viikko";"5";"Koko Suomi";"kaikki";"kaikki";"10841";"2023/12/19 12:10:43";"44671"
"Työttömyysturva";"2019";"viikko";"6";"Koko Suomi";"kaikki";"kaikki";"7771";"2023/12/19 12:10:43";"52442"
"Työttömyysturva";"2019";"viikko";"7";"Koko Suomi";"kaikki";"kaikki";"6068";"2023/12/19 12:10:43";"58510"
"Työttömyysturva";"2019";"viikko";"8";"Koko Suomi";"kaikki";"kaikki";"6381";"2023/12/19 12:10:43";"64891"
"Työttömyysturva";"2019";"viikko";"9";"Koko Suomi";"kaikki";"kaikki";"7243";"2023/12/19 12:10:43";"72134"
"Työttömyysturva";"2019";"viikko";"10";"Koko Suomi";"kaikki";"kaikki";"7274";"2023/12/19 12:10:43";"79408"
"Työttömyysturva";"2019";"viikko";"11";"Koko Suomi";"kaikki";"kaikki";"6254";"2023/12/19 12:10:43";"85662"
"Työttömyysturva";"2019";"viikko";"12";"Koko Suomi";"kaikki";"kaikki";"6130";"2023/12/19 12:10:43";"91792"
"Työttömyysturva";"2019";"viikko";"13";"Koko Suomi";"kaikki";"kaikki";"6049";"2023/12/19 12:10:43";"97841"
"Työttömyysturva";"2019";"viikko";"14";"Koko Suomi";"kaikki";"kaikki";"8549";"2023/12/19 12:10:43";"106390"
"Työttömyysturva";"2019";"viikko";"15";"Koko Suomi";"kaikki";"kaikki";"5795";"2023/12/19 12:10:43";"112185"
"Työttömyysturva";"2019";"viikko";"16";"Koko Suomi";"kaikki";"kaikki";"8298";"2023/12/19 12:10:43";"120483"
"Työttömyysturva";"2019";"viikko";"17";"Koko Suomi";"kaikki";"kaikki";"6061";"2023/12/19 12:10:43";"126544"
"Työttömyysturva";"2019";"viikko";"18";"Koko Suomi";"kaikki";"kaikki";"6928";"2023/12/19 12:10:43";"133472"
"Työttömyysturva";"2019";"viikko";"19";"Koko Suomi";"kaikki";"kaikki";"5880";"2023/12/19 12:10:43";"139352"
"Työttömyysturva";"2019";"viikko";"20";"Koko Suomi";"kaikki";"kaikki";"5930";"2023/12/19 12:10:43";"145282"
"Työttömyysturva";"2019";"viikko";"21";"Koko Suomi";"kaikki";"kaikki";"6557";"2023/12/19 12:10:43";"151839"
"Työttömyysturva";"2019";"viikko";"22";"Koko Suomi";"kaikki";"kaikki";"7136";"2023/12/19 12:10:43";"158975"
"Työttömyysturva";"2019";"viikko";"23";"Koko Suomi";"kaikki";"kaikki";"7770";"2023/12/19 12:10:43";"166745"
"Työttömyysturva";"2019";"viikko";"24";"Koko Suomi";"kaikki";"kaikki";"7550";"2023/12/19 12:10:43";"174295"
"Työttömyysturva";"2019";"viikko";"25";"Koko Suomi";"kaikki";"kaikki";"8187";"2023/12/19 12:10:43";"182482"
"Työttömyysturva";"2019";"viikko";"26";"Koko Suomi";"kaikki";"kaikki";"8597";"2023/12/19 12:10:43";"191079"
"Työttömyysturva";"2019";"viikko";"27";"Koko Suomi";"kaikki";"kaikki";"8431";"2023/12/19 12:10:43";"199510"
"Työttömyysturva";"2019";"viikko";"28";"Koko Suomi";"kaikki";"kaikki";"7013";"2023/12/19 12:10:43";"206523"
"Työttömyysturva";"2019";"viikko";"29";"Koko Suomi";"kaikki";"kaikki";"7008";"2023/12/19 12:10:43";"213531"
"Työttömyysturva";"2019";"viikko";"30";"Koko Suomi";"kaikki";"kaikki";"6655";"2023/12/19 12:10:43";"220186"
"Työttömyysturva";"2019";"viikko";"31";"Koko Suomi";"kaikki";"kaikki";"9829";"2023/12/19 12:10:43";"230015"
"Työttömyysturva";"2019";"viikko";"32";"Koko Suomi";"kaikki";"kaikki";"6627";"2023/12/19 12:10:43";"236642"
"Työttömyysturva";"2019";"viikko";"33";"Koko Suomi";"kaikki";"kaikki";"7147";"2023/12/19 12:10:43";"243789"
"Työttömyysturva";"2019";"viikko";"34";"Koko Suomi";"kaikki";"kaikki";"7304";"2023/12/19 12:10:43";"251093"
"Työttömyysturva";"2019";"viikko";"35";"Koko Suomi";"kaikki";"kaikki";"8037";"2023/12/19 12:10:43";"259130"
"Työttömyysturva";"2019";"viikko";"36";"Koko Suomi";"kaikki";"kaikki";"8141";"2023/12/19 12:10:43";"267271"
"Työttömyysturva";"2019";"viikko";"37";"Koko Suomi";"kaikki";"kaikki";"8560";"2023/12/19 12:10:43";"275831"
"Työttömyysturva";"2019";"viikko";"38";"Koko Suomi";"kaikki";"kaikki";"7476";"2023/12/19 12:10:43";"283307"
"Työttömyysturva";"2019";"viikko";"39";"Koko Suomi";"kaikki";"kaikki";"7299";"2023/12/19 12:10:43";"290606"
"Työttömyysturva";"2019";"viikko";"40";"Koko Suomi";"kaikki";"kaikki";"8600";"2023/12/19 12:10:43";"299206"
"Työttömyysturva";"2019";"viikko";"41";"Koko Suomi";"kaikki";"kaikki";"6644";"2023/12/19 12:10:43";"305850"
"Työttömyysturva";"2019";"viikko";"42";"Koko Suomi";"kaikki";"kaikki";"6166";"2023/12/19 12:10:43";"312016"
"Työttömyysturva";"2019";"viikko";"43";"Koko Suomi";"kaikki";"kaikki";"6066";"2023/12/19 12:10:43";"318082"
"Työttömyysturva";"2019";"viikko";"44";"Koko Suomi";"kaikki";"kaikki";"6816";"2023/12/19 12:10:43";"324898"
"Työttömyysturva";"2019";"viikko";"45";"Koko Suomi";"kaikki";"kaikki";"6477";"2023/12/19 12:10:43";"331375"
"Työttömyysturva";"2019";"viikko";"46";"Koko Suomi";"kaikki";"kaikki";"5666";"2023/12/19 12:10:43";"337041"
"Työttömyysturva";"2019";"viikko";"47";"Koko Suomi";"kaikki";"kaikki";"5874";"2023/12/19 12:10:43";"342915"
"Työttömyysturva";"2019";"viikko";"48";"Koko Suomi";"kaikki";"kaikki";"6364";"2023/12/19 12:10:43";"349279"
"Työttömyysturva";"2019";"viikko";"49";"Koko Suomi";"kaikki";"kaikki";"7290";"2023/12/19 12:10:43";"356569"
"Työttömyysturva";"2019";"viikko";"50";"Koko Suomi";"kaikki";"kaikki";"7360";"2023/12/19 12:10:43";"363929"
"Työttömyysturva";"2019";"viikko";"51";"Koko Suomi";"kaikki";"kaikki";"11941";"2023/12/19 12:10:43";"375870"
"Työttömyysturva";"2019";"viikko";"52";"Koko Suomi";"kaikki";"kaikki";"5013";"2023/12/19 12:10:43";"380883"
"Työttömyysturva";"2020";"viikko";"1";"Koko Suomi";"kaikki";"kaikki";"10555";"2023/12/19 12:10:43";"10555"
"Työttömyysturva";"2020";"viikko";"2";"Koko Suomi";"kaikki";"kaikki";"7954";"2023/12/19 12:10:43";"18509"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"kaikki";"kaikki";"8263";"2023/12/19 12:10:43";"26772"
"Työttömyysturva";"2020";"viikko";"4";"Koko Suomi";"kaikki";"kaikki";"7376";"2023/12/19 12:10:43";"34148"
"Työttömyysturva";"2020";"viikko";"5";"Koko Suomi";"kaikki";"kaikki";"8858";"2023/12/19 12:10:43";"43006"
"Työttömyysturva";"2020";"viikko";"6";"Koko Suomi";"kaikki";"kaikki";"6853";"2023/12/19 12:10:43";"49859"
"Työttömyysturva";"2020";"viikko";"7";"Koko Suomi";"kaikki";"kaikki";"5689";"2023/12/19 12:10:43";"55548"
"Työttömyysturva";"2020";"viikko";"8";"Koko Suomi";"kaikki";"kaikki";"6783";"2023/12/19 12:10:43";"62331"
"Työttömyysturva";"2020";"viikko";"9";"Koko Suomi";"kaikki";"kaikki";"7514";"2023/12/19 12:10:43";"69845"
"Työttömyysturva";"2020";"viikko";"10";"Koko Suomi";"kaikki";"kaikki";"6371";"2023/12/19 12:10:43";"76216"
"Työttömyysturva";"2020";"viikko";"11";"Koko Suomi";"kaikki";"kaikki";"6103";"2023/12/19 12:10:43";"82319"
"Työttömyysturva";"2020";"viikko";"12";"Koko Suomi";"kaikki";"kaikki";"9234";"2023/12/19 12:10:43";"91553"
"Työttömyysturva";"2020";"viikko";"13";"Koko Suomi";"kaikki";"kaikki";"16224";"2023/12/19 12:10:43";"107777"
"Työttömyysturva";"2020";"viikko";"14";"Koko Suomi";"kaikki";"kaikki";"27318";"2023/12/19 12:10:43";"135095"
"Työttömyysturva";"2020";"viikko";"15";"Koko Suomi";"kaikki";"kaikki";"21931";"2023/12/19 12:10:43";"157026"
"Työttömyysturva";"2020";"viikko";"16";"Koko Suomi";"kaikki";"kaikki";"19039";"2023/12/19 12:10:43";"176065"
"Työttömyysturva";"2020";"viikko";"17";"Koko Suomi";"kaikki";"kaikki";"14207";"2023/12/19 12:10:43";"190272"
"Työttömyysturva";"2020";"viikko";"18";"Koko Suomi";"kaikki";"kaikki";"14949";"2023/12/19 12:10:43";"205221"
"Työttömyysturva";"2020";"viikko";"19";"Koko Suomi";"kaikki";"kaikki";"11337";"2023/12/19 12:10:43";"216558"
"Työttömyysturva";"2020";"viikko";"20";"Koko Suomi";"kaikki";"kaikki";"9532";"2023/12/19 12:10:43";"226090"
"Työttömyysturva";"2020";"viikko";"21";"Koko Suomi";"kaikki";"kaikki";"7711";"2023/12/19 12:10:43";"233801"
"Työttömyysturva";"2020";"viikko";"22";"Koko Suomi";"kaikki";"kaikki";"9490";"2023/12/19 12:10:43";"243291"
"Työttömyysturva";"2020";"viikko";"23";"Koko Suomi";"kaikki";"kaikki";"13917";"2023/12/19 12:10:43";"257208"
"Työttömyysturva";"2020";"viikko";"24";"Koko Suomi";"kaikki";"kaikki";"11246";"2023/12/19 12:10:43";"268454"
"Työttömyysturva";"2020";"viikko";"25";"Koko Suomi";"kaikki";"kaikki";"9291";"2023/12/19 12:10:43";"277745"
"Työttömyysturva";"2020";"viikko";"26";"Koko Suomi";"kaikki";"kaikki";"10608";"2023/12/19 12:10:43";"288353"
"Työttömyysturva";"2020";"viikko";"27";"Koko Suomi";"kaikki";"kaikki";"11914";"2023/12/19 12:10:43";"300267"
"Työttömyysturva";"2020";"viikko";"28";"Koko Suomi";"kaikki";"kaikki";"7529";"2023/12/19 12:10:43";"307796"
"Työttömyysturva";"2020";"viikko";"29";"Koko Suomi";"kaikki";"kaikki";"7521";"2023/12/19 12:10:43";"315317"
