etuus;vuosi;kuukausi;ikaluokka;sukupuoli;paiva;variable;val
Työttömyysturva;2019;1;alle 25;kaikki;2019-01-01;aiemmin tukea saaneet;25601
Työttömyysturva;2019;1;25-34;kaikki;2019-01-01;aiemmin tukea saaneet;55734
Työttömyysturva;2019;1;35-44;kaikki;2019-01-01;aiemmin tukea saaneet;47697
Työttömyysturva;2019;1;45-54;kaikki;2019-01-01;aiemmin tukea saaneet;44739
Työttömyysturva;2019;1;yli 54;kaikki;2019-01-01;aiemmin tukea saaneet;35328
Työttömyysturva;2019;1;alle 25;miehet;2019-01-01;aiemmin tukea saaneet;14543
Työttömyysturva;2019;1;25-34;miehet;2019-01-01;aiemmin tukea saaneet;29162
Työttömyysturva;2019;1;35-44;miehet;2019-01-01;aiemmin tukea saaneet;23412
Työttömyysturva;2019;1;45-54;miehet;2019-01-01;aiemmin tukea saaneet;23267
Työttömyysturva;2019;1;yli 54;miehet;2019-01-01;aiemmin tukea saaneet;18861
Työttömyysturva;2019;1;alle 25;naiset;2019-01-01;aiemmin tukea saaneet;11058
Työttömyysturva;2019;1;25-34;naiset;2019-01-01;aiemmin tukea saaneet;26572
Työttömyysturva;2019;1;35-44;naiset;2019-01-01;aiemmin tukea saaneet;24285
Työttömyysturva;2019;1;45-54;naiset;2019-01-01;aiemmin tukea saaneet;21472
Työttömyysturva;2019;1;yli 54;naiset;2019-01-01;aiemmin tukea saaneet;16467
Työttömyysturva;2019;1;alle 25;kaikki;2019-01-01;uudet saajat;2439
Työttömyysturva;2019;1;25-34;kaikki;2019-01-01;uudet saajat;2393
Työttömyysturva;2019;1;35-44;kaikki;2019-01-01;uudet saajat;1357
Työttömyysturva;2019;1;45-54;kaikki;2019-01-01;uudet saajat;1081
Työttömyysturva;2019;1;yli 54;kaikki;2019-01-01;uudet saajat;821
Työttömyysturva;2019;1;alle 25;miehet;2019-01-01;uudet saajat;1320
Työttömyysturva;2019;1;25-34;miehet;2019-01-01;uudet saajat;1086
Työttömyysturva;2019;1;35-44;miehet;2019-01-01;uudet saajat;588
Työttömyysturva;2019;1;45-54;miehet;2019-01-01;uudet saajat;514
Työttömyysturva;2019;1;yli 54;miehet;2019-01-01;uudet saajat;414
Työttömyysturva;2019;1;alle 25;naiset;2019-01-01;uudet saajat;1119
Työttömyysturva;2019;1;25-34;naiset;2019-01-01;uudet saajat;1307
Työttömyysturva;2019;1;35-44;naiset;2019-01-01;uudet saajat;769
Työttömyysturva;2019;1;45-54;naiset;2019-01-01;uudet saajat;567
Työttömyysturva;2019;1;yli 54;naiset;2019-01-01;uudet saajat;407
Työttömyysturva;2019;2;alle 25;kaikki;2019-02-01;aiemmin tukea saaneet;24335
Työttömyysturva;2019;2;25-34;kaikki;2019-02-01;aiemmin tukea saaneet;53942
Työttömyysturva;2019;2;35-44;kaikki;2019-02-01;aiemmin tukea saaneet;46287
Työttömyysturva;2019;2;45-54;kaikki;2019-02-01;aiemmin tukea saaneet;43593
Työttömyysturva;2019;2;yli 54;kaikki;2019-02-01;aiemmin tukea saaneet;34728
Työttömyysturva;2019;2;alle 25;miehet;2019-02-01;aiemmin tukea saaneet;13620
Työttömyysturva;2019;2;25-34;miehet;2019-02-01;aiemmin tukea saaneet;28240
Työttömyysturva;2019;2;35-44;miehet;2019-02-01;aiemmin tukea saaneet;22849
Työttömyysturva;2019;2;45-54;miehet;2019-02-01;aiemmin tukea saaneet;22733
Työttömyysturva;2019;2;yli 54;miehet;2019-02-01;aiemmin tukea saaneet;18619
Työttömyysturva;2019;2;alle 25;naiset;2019-02-01;aiemmin tukea saaneet;10715
Työttömyysturva;2019;2;25-34;naiset;2019-02-01;aiemmin tukea saaneet;25702
Työttömyysturva;2019;2;35-44;naiset;2019-02-01;aiemmin tukea saaneet;23438
Työttömyysturva;2019;2;45-54;naiset;2019-02-01;aiemmin tukea saaneet;20860
Työttömyysturva;2019;2;yli 54;naiset;2019-02-01;aiemmin tukea saaneet;16109
Työttömyysturva;2019;2;alle 25;kaikki;2019-02-01;uudet saajat;2485
Työttömyysturva;2019;2;25-34;kaikki;2019-02-01;uudet saajat;2398
Työttömyysturva;2019;2;35-44;kaikki;2019-02-01;uudet saajat;1346
Työttömyysturva;2019;2;45-54;kaikki;2019-02-01;uudet saajat;1067
Työttömyysturva;2019;2;yli 54;kaikki;2019-02-01;uudet saajat;703
Työttömyysturva;2019;2;alle 25;miehet;2019-02-01;uudet saajat;1391
Työttömyysturva;2019;2;25-34;miehet;2019-02-01;uudet saajat;1127
Työttömyysturva;2019;2;35-44;miehet;2019-02-01;uudet saajat;604
Työttömyysturva;2019;2;45-54;miehet;2019-02-01;uudet saajat;544
Työttömyysturva;2019;2;yli 54;miehet;2019-02-01;uudet saajat;377
Työttömyysturva;2019;2;alle 25;naiset;2019-02-01;uudet saajat;1094
Työttömyysturva;2019;2;25-34;naiset;2019-02-01;uudet saajat;1271
Työttömyysturva;2019;2;35-44;naiset;2019-02-01;uudet saajat;742
Työttömyysturva;2019;2;45-54;naiset;2019-02-01;uudet saajat;523
Työttömyysturva;2019;2;yli 54;naiset;2019-02-01;uudet saajat;326
Työttömyysturva;2019;3;alle 25;kaikki;2019-03-01;aiemmin tukea saaneet;25292
Työttömyysturva;2019;3;25-34;kaikki;2019-03-01;aiemmin tukea saaneet;55168
Työttömyysturva;2019;3;35-44;kaikki;2019-03-01;aiemmin tukea saaneet;47130
Työttömyysturva;2019;3;45-54;kaikki;2019-03-01;aiemmin tukea saaneet;44267
Työttömyysturva;2019;3;yli 54;kaikki;2019-03-01;aiemmin tukea saaneet;35334
Työttömyysturva;2019;3;alle 25;miehet;2019-03-01;aiemmin tukea saaneet;14079
Työttömyysturva;2019;3;25-34;miehet;2019-03-01;aiemmin tukea saaneet;28941
Työttömyysturva;2019;3;35-44;miehet;2019-03-01;aiemmin tukea saaneet;23236
Työttömyysturva;2019;3;45-54;miehet;2019-03-01;aiemmin tukea saaneet;23126
Työttömyysturva;2019;3;yli 54;miehet;2019-03-01;aiemmin tukea saaneet;18993
Työttömyysturva;2019;3;alle 25;naiset;2019-03-01;aiemmin tukea saaneet;11213
Työttömyysturva;2019;3;25-34;naiset;2019-03-01;aiemmin tukea saaneet;26227
Työttömyysturva;2019;3;35-44;naiset;2019-03-01;aiemmin tukea saaneet;23894
Työttömyysturva;2019;3;45-54;naiset;2019-03-01;aiemmin tukea saaneet;21141
Työttömyysturva;2019;3;yli 54;naiset;2019-03-01;aiemmin tukea saaneet;16341
Työttömyysturva;2019;3;alle 25;kaikki;2019-03-01;uudet saajat;2012
Työttömyysturva;2019;3;25-34;kaikki;2019-03-01;uudet saajat;2159
Työttömyysturva;2019;3;35-44;kaikki;2019-03-01;uudet saajat;1300
Työttömyysturva;2019;3;45-54;kaikki;2019-03-01;uudet saajat;912
Työttömyysturva;2019;3;yli 54;kaikki;2019-03-01;uudet saajat;642
Työttömyysturva;2019;3;alle 25;miehet;2019-03-01;uudet saajat;1114
Työttömyysturva;2019;3;25-34;miehet;2019-03-01;uudet saajat;1036
Työttömyysturva;2019;3;35-44;miehet;2019-03-01;uudet saajat;599
Työttömyysturva;2019;3;45-54;miehet;2019-03-01;uudet saajat;453
Työttömyysturva;2019;3;yli 54;miehet;2019-03-01;uudet saajat;339
Työttömyysturva;2019;3;alle 25;naiset;2019-03-01;uudet saajat;898
Työttömyysturva;2019;3;25-34;naiset;2019-03-01;uudet saajat;1123
Työttömyysturva;2019;3;35-44;naiset;2019-03-01;uudet saajat;701
Työttömyysturva;2019;3;45-54;naiset;2019-03-01;uudet saajat;459
Työttömyysturva;2019;3;yli 54;naiset;2019-03-01;uudet saajat;303
