etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2019;viikko;1;Etelä-Karjala;kaikki;kaikki;193;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Etelä-Pohjanmaa;kaikki;kaikki;199;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Etelä-Savo;kaikki;kaikki;190;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Kainuu;kaikki;kaikki;93;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Kanta-Häme;kaikki;kaikki;176;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Keski-Pohjanmaa;kaikki;kaikki;68;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Keski-Suomi;kaikki;kaikki;378;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Kymenlaakso;kaikki;kaikki;222;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Lappi;kaikki;kaikki;246;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Pirkanmaa;kaikki;kaikki;657;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Pohjanmaa;kaikki;kaikki;214;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Pohjois-Karjala;kaikki;kaikki;263;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Pohjois-Pohjanmaa;kaikki;kaikki;655;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Pohjois-Savo;kaikki;kaikki;313;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Päijät-Häme;kaikki;kaikki;313;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Satakunta;kaikki;kaikki;266;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Uusimaa;kaikki;kaikki;2071;2021/07/09 10:04:27
Työttömyysturva;2019;viikko;1;Varsinais-Suomi;kaikki;kaikki;632;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Etelä-Karjala;kaikki;kaikki;412;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Etelä-Pohjanmaa;kaikki;kaikki;315;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Etelä-Savo;kaikki;kaikki;196;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Kainuu;kaikki;kaikki;143;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Kanta-Häme;kaikki;kaikki;270;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Keski-Pohjanmaa;kaikki;kaikki;125;2021/07/09 10:04:27
Työttömyysturva;2020;viikko;1;Keski-Suomi;kaikki;kaikki;336;2021/07/09 10:04:27
