etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated;saapuneet_hakemukset_kumu
Työttömyysturva;2019;viikko;1;Koko Suomi;kaikki;kaikki;7189;2021/02/26 10:02:20;7189
Työttömyysturva;2019;viikko;2;Koko Suomi;kaikki;kaikki;9083;2021/02/26 10:02:20;16272
Työttömyysturva;2019;viikko;3;Koko Suomi;kaikki;kaikki;9017;2021/02/26 10:02:20;25289
Työttömyysturva;2019;viikko;4;Koko Suomi;kaikki;kaikki;8541;2021/02/26 10:02:20;33830
Työttömyysturva;2019;viikko;5;Koko Suomi;kaikki;kaikki;10841;2021/02/26 10:02:20;44671
Työttömyysturva;2019;viikko;6;Koko Suomi;kaikki;kaikki;7771;2021/02/26 10:02:20;52442
Työttömyysturva;2019;viikko;7;Koko Suomi;kaikki;kaikki;6068;2021/02/26 10:02:20;58510
Työttömyysturva;2019;viikko;8;Koko Suomi;kaikki;kaikki;6381;2021/02/26 10:02:20;64891
Työttömyysturva;2019;viikko;9;Koko Suomi;kaikki;kaikki;7243;2021/02/26 10:02:20;72134
Työttömyysturva;2019;viikko;10;Koko Suomi;kaikki;kaikki;7274;2021/02/26 10:02:20;79408
Työttömyysturva;2019;viikko;11;Koko Suomi;kaikki;kaikki;6254;2021/02/26 10:02:20;85662
Työttömyysturva;2019;viikko;12;Koko Suomi;kaikki;kaikki;6130;2021/02/26 10:02:20;91792
Työttömyysturva;2019;viikko;13;Koko Suomi;kaikki;kaikki;6049;2021/02/26 10:02:20;97841
Työttömyysturva;2019;viikko;14;Koko Suomi;kaikki;kaikki;8549;2021/02/26 10:02:20;106390
Työttömyysturva;2019;viikko;15;Koko Suomi;kaikki;kaikki;5795;2021/02/26 10:02:20;112185
Työttömyysturva;2019;viikko;16;Koko Suomi;kaikki;kaikki;8298;2021/02/26 10:02:20;120483
Työttömyysturva;2019;viikko;17;Koko Suomi;kaikki;kaikki;6061;2021/02/26 10:02:20;126544
Työttömyysturva;2019;viikko;18;Koko Suomi;kaikki;kaikki;6928;2021/02/26 10:02:20;133472
Työttömyysturva;2019;viikko;19;Koko Suomi;kaikki;kaikki;5880;2021/02/26 10:02:20;139352
Työttömyysturva;2019;viikko;20;Koko Suomi;kaikki;kaikki;5930;2021/02/26 10:02:20;145282
Työttömyysturva;2019;viikko;21;Koko Suomi;kaikki;kaikki;6557;2021/02/26 10:02:20;151839
Työttömyysturva;2019;viikko;22;Koko Suomi;kaikki;kaikki;7136;2021/02/26 10:02:20;158975
Työttömyysturva;2019;viikko;23;Koko Suomi;kaikki;kaikki;7770;2021/02/26 10:02:20;166745
Työttömyysturva;2019;viikko;24;Koko Suomi;kaikki;kaikki;7550;2021/02/26 10:02:20;174295
Työttömyysturva;2019;viikko;25;Koko Suomi;kaikki;kaikki;8187;2021/02/26 10:02:20;182482
Työttömyysturva;2019;viikko;26;Koko Suomi;kaikki;kaikki;8597;2021/02/26 10:02:20;191079
Työttömyysturva;2019;viikko;27;Koko Suomi;kaikki;kaikki;8431;2021/02/26 10:02:20;199510
Työttömyysturva;2019;viikko;28;Koko Suomi;kaikki;kaikki;7013;2021/02/26 10:02:20;206523
Työttömyysturva;2019;viikko;29;Koko Suomi;kaikki;kaikki;7008;2021/02/26 10:02:20;213531
Työttömyysturva;2019;viikko;30;Koko Suomi;kaikki;kaikki;6655;2021/02/26 10:02:20;220186
Työttömyysturva;2019;viikko;31;Koko Suomi;kaikki;kaikki;9829;2021/02/26 10:02:20;230015
Työttömyysturva;2019;viikko;32;Koko Suomi;kaikki;kaikki;6627;2021/02/26 10:02:20;236642
Työttömyysturva;2019;viikko;33;Koko Suomi;kaikki;kaikki;7147;2021/02/26 10:02:20;243789
Työttömyysturva;2019;viikko;34;Koko Suomi;kaikki;kaikki;7304;2021/02/26 10:02:20;251093
Työttömyysturva;2019;viikko;35;Koko Suomi;kaikki;kaikki;8037;2021/02/26 10:02:20;259130
Työttömyysturva;2019;viikko;36;Koko Suomi;kaikki;kaikki;8141;2021/02/26 10:02:20;267271
Työttömyysturva;2019;viikko;37;Koko Suomi;kaikki;kaikki;8560;2021/02/26 10:02:20;275831
Työttömyysturva;2019;viikko;38;Koko Suomi;kaikki;kaikki;7476;2021/02/26 10:02:20;283307
Työttömyysturva;2019;viikko;39;Koko Suomi;kaikki;kaikki;7299;2021/02/26 10:02:20;290606
Työttömyysturva;2019;viikko;40;Koko Suomi;kaikki;kaikki;8600;2021/02/26 10:02:20;299206
Työttömyysturva;2019;viikko;41;Koko Suomi;kaikki;kaikki;6644;2021/02/26 10:02:20;305850
Työttömyysturva;2019;viikko;42;Koko Suomi;kaikki;kaikki;6166;2021/02/26 10:02:20;312016
Työttömyysturva;2019;viikko;43;Koko Suomi;kaikki;kaikki;6066;2021/02/26 10:02:20;318082
Työttömyysturva;2019;viikko;44;Koko Suomi;kaikki;kaikki;6816;2021/02/26 10:02:20;324898
Työttömyysturva;2019;viikko;45;Koko Suomi;kaikki;kaikki;6477;2021/02/26 10:02:20;331375
Työttömyysturva;2019;viikko;46;Koko Suomi;kaikki;kaikki;5666;2021/02/26 10:02:20;337041
